country,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,87,87.1,87.5,87.9,87.7,88,88.4,88.7,89,89.4,89.8,89,88.8,88.9,88.5,88.3,87.9,87.7,86.2,84.7,83.4,81.5,79.3,77.1,74.8,72,68.6,68.2,67.3
Angola,9.69,8.34,8.24,6.23,6.16,5.71,6.4,7.11,4.39,4.35,5.32,6.92,7.7,6.97,6.15,7.03,6.69,7.18,14,11.5,12.1,11.6,12.7,14.4,15.5,14.5,14,13.5,11.9
Albania,45.3,49.1,49.3,49,47.4,46.3,51.5,50.4,47.7,45.9,42.8,41.7,40,38.7,38.4,36.4,35.5,49.8,45.3,44.1,43.2,50.5,45.7,41.8,40,31.2,30.3,28.9,29.2
United Arab Emirates,0.00094,0.00086,0.00078,0.00072,0.00067,0.00063,0.00059,0.00055,0.00052,0.00049,0.00045,0.00041,0.00038,0.00068,0.00061,0.00131,0.00226,0.00448,0.00577,0.00762,0.0102,0.0124,0.0146,0.0173,0.0189,0.0232,0.156,1.61,3.74
Argentina,1.81,2.02,2.11,2.56,2.08,2.75,2.35,2.13,2.01,1.83,1.75,1.57,2.44,2.02,1.69,1.6,1.45,1.21,1.17,1.25,1.18,0.853,0.791,0.952,0.961,0.972,0.977,0.785,0.813
Armenia,32.3,32.4,31.8,31.8,31.4,31.6,31.7,31.2,31.3,31.5,30.6,30.3,30.1,29.2,29,28,26.7,26,25,22.2,19.1,18.9,18.8,10.1,10.7,8.79,3.38,2.13,1.99
Australia,1.28,1.4,1.45,1.44,1.34,1.33,1.31,1.1,1.22,1.16,0.715,0.582,0.548,0.526,0.447,0.412,0.353,0.324,0.31,0.324,0.279,0.272,0.253,0.267,0.269,0.257,0.231,0.227,0.2
Austria,6.5,6.24,6.02,5.62,5.33,5.46,4.9,4.39,4.34,4.13,3.91,3.78,3.18,1.63,1.87,1.99,2.84,2.66,2.57,2.42,2.19,2.06,1.97,2.06,1.73,1.64,1.67,1.29,1.12
Azerbaijan,41.6,41.9,41.3,41.8,42.5,42.5,42.4,41.9,41.6,41.3,41.5,41.7,41.7,41.7,42,42.2,41.9,42.1,42.1,42.3,41.5,42.5,41.8,42,42.5,41.3,41.3,43.3,42.5
Burundi,33.5,33.9,34,33.7,35.3,37.4,37,37,36.7,35.9,35.8,35.9,34.6,38.6,36.2,37.3,36.1,37.3,35.6,36.8,36.9,35.8,35.7,35.5,35.4,33.9,34.4,34.5,34.5
Belgium,5.14,5.94,5.46,5.07,5.41,5.37,4.99,4.15,5.27,4.19,3.96,3.76,3.25,3.27,3.41,2.96,2.49,2.19,2.21,1.82,1.86,1.37,1.48,1.48,1.36,1.2,1.09,1.27,1.14
Benin,28.8,28.5,28.5,22.5,22.9,22.6,22.3,22.6,21.8,21.6,20.5,20.3,20,20.6,20,20.4,21,22,21.6,21.1,21.2,21.5,21,20.3,18.9,19.6,18.3,17.9,16.4
Burkina Faso,73.5,73.4,73.7,73.7,73.9,74.1,73.4,74.2,72.6,73.1,73.8,73.5,71.6,71.1,72.6,72.6,69.2,69.2,65.3,60.6,56.3,55.6,56,53.4,53.6,52.2,51.1,51.1,50.7
Bangladesh,69.5,69.4,69.3,69.1,68.8,68.6,68.2,67.8,67.3,66.7,66,65.3,64.5,63.7,62.8,61.5,61.7,61.7,61.6,60.8,57.4,53.9,50.5,46.7,43,39.3,29.9,28.2,26.8
Bulgaria,1.3,1.41,1.5,1.57,1.62,1.61,1.94,1.94,2.37,2.41,1.96,2.29,2.71,2.98,2.27,1.84,1.65,1.52,1.54,1.46,1.29,1.15,0.925,1.02,0.905,0.821,1.07,0.997,0.887
Bahrain,0.045,0.0453,0.0451,0.0491,0.0503,0.0518,0.0529,0.0501,0.0523,0.0572,0.0577,0.777,0.749,0.0649,0.736,0.737,0.713,0.729,0.758,0.725,0.723,0.677,0.644,0.601,0.538,0.512,0.505,0.501,0.482
Bahamas,0.685,0.583,0.57,0.463,0.99,1.15,0.199,0.42,0.375,0.255,0.169,0.687,0.137,0.489,0.429,0.377,0.316,0.269,0.324,0.308,0.29,0.309,0.301,0.292,0.275,0.271,0.267,0.253,0.245
Bosnia and Herzegovina,39.7,43,44.7,42.3,38.1,28.4,22.5,18.6,15.8,14.3,13.4,12.6,12.4,11.9,11.4,10.9,8.8,10.5,13,11.2,10.2,8.92,8.28,7.8,7.65,7.64,7.3,6.74,5.52
Belarus,0.0962,0.0965,0.0966,0.0969,0.0969,0.0957,0.0932,0.0905,0.0883,0.0854,0.0824,0.0793,0.0757,0.0712,0.0669,0.0626,0.0588,0.0547,0.0536,0.0504,0.0479,0.0466,0.0455,0.0442,0.0445,0.0443,0.0362,0.0359,0.0277
Belize,4.59,4.54,4.54,4.46,4.31,4.13,4.14,4.13,4.08,4.03,4.08,4.22,4.27,4.25,4.3,4.22,4.24,4.21,4.2,4.15,4.07,4.02,4.01,2.8,3.85,5.22,4.05,3.97,4
Bolivia,40.7,40.7,40.5,40.3,40.2,39.8,39.4,39.2,38.4,37.4,40.3,38.6,36.3,34,36.8,38.6,34.2,31.4,29.9,30.6,31.3,23.6,26.8,30,25.4,26.2,29.3,30.7,29.5
